datetime,date,time,open,high,low,close,tickvol,vol,spread,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_position,kc_middle,kc_upper,kc_lower,kc_position,kc_width
2024-01-26 02:00:00,2024.01.26,02:00:00,2020.6,2020.9,2020.02,2020.2,623,0,20,2018.4355,2022.292356103159,2014.5786438968412,0.0038216292798643916,0.7287484874733632,2018.9786539468612,2021.0996539468613,2016.857653946861,0.7879175042760029,0.210106233253511
2024-01-26 02:15:00,2024.01.26,02:15:00,2020.21,2020.39,2019.42,2019.49,682,0,20,2018.529,2022.392904243181,2014.665095756819,0.003828435700632459,0.6243560838361858,2019.053702777319,2020.859702777319,2017.2477027773189,0.6207910361797053,0.1788956873723357
2024-01-26 02:30:00,2024.01.26,02:30:00,2019.49,2021.27,2019.21,2020.84,956,0,20,2018.8045000000002,2022.4987629847462,2015.1102370152541,0.0036598521399630784,0.7754947344577926,2019.1857310842408,2021.105731084241,2017.2657310842408,0.930799196812243,0.19017567036481497
2024-01-26 02:45:00,2024.01.26,02:45:00,2020.85,2021.89,2020.47,2021.18,983,0,5,2019.149,2022.3467048019565,2015.9512951980432,0.003167378734265437,0.8175715279842931,2019.3756614571703,2021.3976614571702,2017.3536614571703,0.9461766920944216,0.2002599158336761
2024-01-26 03:00:00,2024.01.26,03:00:00,2021.22,2023.73,2021.11,2022.56,2228,0,20,2019.5314999999998,2022.425157028821,2016.6378429711785,0.0028656715964284598,1.0232997500802243,2019.6700429056937,2021.9500429056936,2017.3900429056937,1.1337625206812099,0.2257794542240913
2024-01-26 03:15:00,2024.01.26,03:15:00,2022.58,2024.26,2022.21,2022.45,1376,0,5,2019.7684999999997,2022.7997589794406,2016.7372410205587,0.0030015905084577405,0.942307968106193,2019.9846419940404,2022.3741419940404,2017.5951419940404,1.01587319647617,0.2365859571725445
2024-01-26 03:30:00,2024.01.26,03:30:00,2022.35,2023.38,2021.26,2021.46,1884,0,20,2019.9699999999998,2022.8862715923651,2017.0537284076345,0.002887440498982975,0.7554631749493078,2020.1797554549255,2022.7027554549254,2017.6567554549256,0.7537147334670201,0.24977975283508916
2024-01-26 03:45:00,2024.01.26,03:45:00,2021.48,2022.24,2020.96,2021.82,1262,0,5,2020.173,2023.0098087705082,2017.3361912294918,0.002808481026633107,0.7902909806826455,2020.322000967155,2022.725000967155,2017.919000967155,0.8116935149490139,0.2378828720223481
2024-01-26 04:00:00,2024.01.26,04:00:00,2021.83,2023.07,2021.65,2022.78,1238,0,20,2020.4330000000002,2023.224351643994,2017.6416483560065,0.0027631222059763634,0.920405649186103,2020.5294294464736,2022.8859294464737,2018.1729294464735,0.9775239875930971,0.23325569681463756
2024-01-26 04:15:00,2024.01.26,04:15:00,2022.8,2023.96,2022.46,2023.38,915,0,20,2020.7244999999998,2023.4679246846629,2017.9810753153367,0.002715288189620177,0.983975378446818,2020.7901187055395,2023.2381187055396,2018.3421187055394,1.0289790225613793,0.24228146974196527
2024-01-26 04:30:00,2024.01.26,04:30:00,2023.38,2023.82,2022.52,2023.02,1092,0,20,2021.0014999999999,2023.4850400138534,2018.5179599861463,0.002457731984715102,0.9063755745308315,2021.0120121621549,2023.5230121621548,2018.501012162155,0.8998382791408099,0.24848936917634692
2024-01-26 04:45:00,2024.01.26,04:45:00,2023.02,2023.1,2021.68,2021.87,918,0,20,2021.0919999999999,2023.5635954362333,2018.6204045637664,0.002445802008254378,0.657388217463625,2021.1267411625845,2023.7052411625846,2018.5482411625844,0.6441262046568498,0.2551547062819902
2024-01-26 05:00:00,2024.01.26,05:00:00,2021.89,2022.88,2021.66,2021.97,895,0,20,2021.227,2023.5777709374602,2018.87622906254,0.0023260830549563048,0.6580332622290117,2021.2260991471003,2023.6785991471002,2018.7735991471004,0.6516617437104547,0.24267448367451394
2024-01-26 05:15:00,2024.01.26,05:15:00,2021.99,2022.61,2021.39,2022.27,815,0,20,2021.3469999999998,2023.6530364265125,2019.040963573487,0.0022816828842477017,0.7001269341170007,2021.3083754188049,2023.7308754188048,2018.885875418805,0.6984777257368731,0.23969623135786694
2024-01-26 05:30:00,2024.01.26,05:30:00,2022.25,2022.74,2022.0,2022.05,512,0,5,2021.4689999999998,2023.6492926410003,2019.2887073589993,0.0021571368554259363,0.6332389948657347,2021.399323791617,2023.539823791617,2019.258823791617,0.6519916394260581,0.21178398298708792
2024-01-26 05:45:00,2024.01.26,05:45:00,2022.07,2022.19,2021.2,2021.79,645,0,5,2021.5235,2023.67852459392,2019.36847540608,0.002132079685365974,0.5618322409757726,2021.4304993035266,2023.4119993035265,2019.4489993035268,0.5907142812196207,0.19604928298871363
2024-01-26 06:00:00,2024.01.26,06:00:00,2021.79,2022.09,2021.02,2021.52,586,0,20,2021.6064999999999,2023.6222209629304,2019.5907790370693,0.0019941773662981127,0.47854365718503805,2021.4412454016033,2023.2652454016031,2019.6172454016034,0.5215884315780445,0.18046529961225408
2024-01-26 06:15:00,2024.01.26,06:15:00,2021.55,2022.24,2021.45,2021.93,568,0,5,2021.6995,2023.5908748968398,2019.8081251031601,0.0018710742094359789,0.5609345086437516,2021.4823966331967,2023.2328966331966,2019.7318966331968,0.6278501476159412,0.17318973471303567
2024-01-26 06:30:00,2024.01.26,06:30:00,2021.95,2022.42,2021.03,2021.08,655,0,5,2021.714,2023.5815588345204,2019.8464411654795,0.0018475005213600176,0.3302596983074909,2021.4850255252732,2023.231025525273,2019.7390255252733,0.3840133089137279,0.17274429223596918
2024-01-26 06:45:00,2024.01.26,06:45:00,2021.11,2021.94,2020.96,2021.14,713,0,7,2021.7400000000002,2023.5597802066172,2019.9202197933832,0.0018002119032288987,0.3351449263437295,2021.4718484911202,2023.1398484911201,2019.8038484911203,0.4005250326378453,0.16502826900556955
2024-01-26 07:00:00,2024.01.26,07:00:00,2021.12,2021.65,2020.92,2021.58,745,0,5,2021.809,2023.4892844998374,2020.1287155001626,0.0016621594817684544,0.43185677781881515,2021.463418476093,2023.045918476093,2019.880918476093,0.5368346047099265,0.15656973908466476
2024-01-26 07:15:00,2024.01.26,07:15:00,2021.6,2021.81,2021.13,2021.4,512,0,5,2021.9045,2023.2254008291284,2020.5835991708718,0.0013065907209052427,0.30903184066704315,2021.4618230656715,2022.9333230656714,2019.9903230656716,0.47899318189893364,0.14558771115135458
2024-01-26 07:30:00,2024.01.26,07:30:00,2021.42,2023.11,2021.42,2022.65,1372,0,20,2021.9949999999997,2023.258542638928,2020.7314573610713,0.0012497979855819197,0.7591918862967497,2021.5505383292584,2023.0955383292583,2020.0055383292586,0.8558128384277622,0.1528529681258164
2024-01-26 07:45:00,2024.01.26,07:45:00,2022.67,2023.55,2022.64,2022.91,1315,0,20,2022.0815000000002,2023.346889663459,2020.8161103365414,0.0012515713767806004,0.8273695146739399,2021.6917569010752,2023.1902569010751,2020.1932569010753,0.9064875204954695,0.14824218329869226
