datetime,date,time,open,high,low,close,tickvol,vol,spread,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_position,kc_middle,kc_atr,kc_upper,kc_lower,kc_position,kc_width_pct
2024-01-03 12:00:00,2024.01.03,12:00:00,2056.81,2057.25,2055.41,2055.7,4336,0,16,2061.5735,2067.697672678823,2055.449327321177,0.005941260574821141,0.02046584020154067,2060.5514752661475,2.2943899402812717,2063.9930601765695,2057.1098903557254,-0.20483155180277898,0.33404503131643953
2024-01-03 12:15:00,2024.01.03,12:15:00,2055.69,2055.81,2052.54,2052.93,4863,0,16,2061.041,2068.1479034044405,2053.93409659556,0.006896421181762366,-0.07064234156697789,2059.9046680979427,2.391950946253143,2063.4925945173222,2056.316741678563,-0.47196364734104834,0.3483584920162851
2024-01-03 12:30:00,2024.01.03,12:30:00,2053.13,2055.48,2052.94,2054.75,4770,0,16,2060.5305,2067.8999815964253,2053.1610184035744,0.0071529944317013806,0.107808234245155,2059.3794616124246,2.4077558516278468,2062.9910953898666,2055.7678278349827,-0.1409096128931928,0.3507497131795399
2024-01-03 12:45:00,2024.01.03,12:45:00,2054.75,2056.03,2054.2,2054.87,3753,0,16,2060.0715,2067.647607905782,2052.495392094218,0.007355189279383759,0.15671687463490383,2058.9655446334637,2.3499802664651,2062.4905150331615,2055.440574233766,-0.08093319504396665,0.3424020774787043
2024-01-03 13:00:00,2024.01.03,13:00:00,2054.87,2055.71,2052.21,2053.0,4052,0,16,2059.463,2067.255214319439,2051.6707856805615,0.007567229243194656,0.08529118071884952,2058.458349906467,2.4649822398185903,2062.155823266195,2054.760876546739,-0.23811889571916123,0.3592468470295813
2024-01-03 13:15:00,2024.01.03,13:15:00,2053.21,2053.81,2051.46,2052.4,4384,0,16,2058.8540000000003,2066.8524708538616,2050.855529146139,0.007769828121723408,0.09654788284410463,2057.8962848360097,2.453484015836722,2061.5765108597648,2054.2160588122547,-0.24673196707652473,0.35766875628023315
2024-01-03 13:30:00,2024.01.03,13:30:00,2052.4,2052.42,2047.6,2049.03,6347,0,16,2058.0950000000003,2066.7688722609964,2049.421127739004,0.008429030011730437,-0.022546316525934026,2057.114098978612,2.690135614253067,2061.149302399992,2053.0788955572325,-0.5016965855773261,0.39231692820376446
2024-01-03 13:45:00,2024.01.03,13:45:00,2049.04,2050.04,2046.6,2047.7,6260,0,16,2057.263,2066.5516147514086,2047.974385248591,0.009030070293792065,-0.014769976790638953,2056.2568832028714,2.765122052827766,2060.404566282113,2052.1092001236298,-0.5315256782391197,0.4034207119862538
2024-01-03 14:00:00,2024.01.03,14:00:00,2047.69,2048.23,2042.91,2045.47,8597,0,16,2056.4314999999997,2066.758573690068,2046.1044263099313,0.010043683623858353,-0.03071665454181155,2055.2359101994234,3.0206098475449834,2059.766824970741,2050.704995428106,-0.5776974068510127,0.4409143250983525
2024-01-03 14:15:00,2024.01.03,14:15:00,2045.47,2046.35,2041.69,2043.52,7037,0,16,2055.5395,2067.0264116389094,2044.0525883610903,0.011176541865441684,-0.023182400014565917,2054.151855259796,3.1845488627904706,2058.9286785539816,2049.37503196561,-0.6128583375416811,0.46508959714486336
2024-01-03 14:30:00,2024.01.03,14:30:00,2043.5,2046.25,2041.95,2046.16,8060,0,16,2054.6845,2066.2904820351455,2043.0785179648542,0.011297094064948311,0.13275404122694787,2053.259932536641,3.296093976511419,2058.204073501408,2048.315791571874,-0.2180147762003978,0.48158938733674433
2024-01-03 14:45:00,2024.01.03,14:45:00,2046.05,2048.46,2045.21,2045.71,7037,0,16,2053.8285,2065.430498577837,2042.226501422163,0.011297923441842484,0.15012493556461312,2052.612319914104,3.2914845788602776,2057.5495467823944,2047.6750930458134,-0.1990077728080706,0.4810676444246538
2024-01-03 15:00:00,2024.01.03,15:00:00,2045.71,2048.1,2044.83,2045.39,8651,0,16,2052.9080000000004,2064.113917365399,2041.7020826346013,0.010917115979282977,0.16455222919928691,2051.9927338905386,3.289336120974248,2056.926738072,2047.0587297090772,-0.16910501569364675,0.4808987965670367
2024-01-03 15:15:00,2024.01.03,15:15:00,2045.19,2046.43,2041.29,2042.85,9269,0,16,2052.0145,2063.434062995149,2040.5949370048518,0.011130099709479212,0.09873683415495703,2051.186124313662,3.474402508876833,2056.3977280769773,2045.9745205503466,-0.2997657431614715,0.508155130491551
2024-01-03 15:30:00,2024.01.03,15:30:00,2042.85,2045.03,2041.35,2041.91,9383,0,16,2051.028,2062.3595411132014,2039.696458886798,0.011049621080942583,0.09767167109437921,2050.3839537441067,3.4949622579891564,2055.6263971310905,2045.141510357123,-0.3082065096922501,0.5113621160964268
2024-01-03 15:45:00,2024.01.03,15:45:00,2041.9,2042.0,2038.6,2041.0,8976,0,16,2050.0765,2061.4205456187465,2038.7324543812538,0.011066948593134304,0.09994430977071549,2049.445799419271,3.48546603219025,2054.6739984675564,2044.2176003709858,-0.3077159401611786,0.5102061298490329
